,Account length,International plan,Voice mail plan,Number vmail messages,Total day charge,Total eve charge,Total night charge,Total intl charge,Customer service calls,Churn
482,74,0,0,0,26.47,14.76,11.58,2.19,0,0
484,85,0,0,0,37.79,19.68,10.06,2.97,3,0
485,36,0,1,16,25.4,11.2,5.97,1.81,0,0
486,102,1,0,0,39.75,18.84,6.61,3.46,0,0
487,76,0,0,0,34.71,24.87,10.99,2.84,0,0
489,130,0,0,0,25.57,19.59,8.38,3.32,1,0
490,78,0,0,0,35.51,21.45,12.61,3.46,0,0
491,55,1,0,0,32.62,21.77,9.17,3.86,1,1
492,92,1,0,0,22.22,22.15,10.99,2.54,2,1
494,18,0,0,0,46.51,9.74,11.28,2.21,1,0
495,161,1,0,0,26.54,15.33,8.08,3.0,2,0
496,93,0,1,36,30.38,15.18,5.71,2.16,2,0
497,144,0,0,0,30.18,24.43,8.12,3.21,2,0
498,75,1,0,0,35.92,8.98,7.92,2.62,4,1
499,95,0,0,0,29.78,20.77,3.41,2.03,1,0
500,126,0,1,23,19.43,16.18,10.82,3.4,3,0
501,124,0,1,28,42.74,19.13,11.34,2.03,1,0
502,93,1,0,0,36.87,17.63,9.98,4.73,1,1
503,109,1,1,26,36.92,12.37,12.63,2.51,0,0
505,41,0,0,0,27.08,10.7,11.79,3.0,1,0
506,136,0,1,31,24.33,20.11,10.25,3.08,2,0
507,92,0,0,0,26.18,28.03,12.96,1.51,3,1
508,143,0,1,24,31.72,18.87,10.57,3.13,1,0
509,118,0,1,26,29.04,16.96,7.64,2.59,5,1
510,193,0,1,17,21.08,17.25,9.23,3.32,1,0
511,73,0,0,0,33.71,23.74,6.58,4.0,3,0
512,62,0,0,0,29.38,17.41,10.84,2.46,2,0
513,30,0,1,30,36.96,18.17,10.22,1.78,0,0
515,148,0,1,14,15.91,16.47,6.52,4.73,1,0
516,96,0,0,0,16.69,26.11,8.21,2.05,2,0
517,52,0,0,0,36.5,13.48,5.55,2.54,2,0
518,87,0,0,0,28.59,19.1,7.63,3.48,1,0
519,41,0,0,0,34.49,13.07,5.11,2.43,3,0
520,112,0,0,0,44.44,13.13,5.89,3.13,1,0
521,88,0,0,0,12.46,13.72,10.78,2.21,4,1
522,122,0,1,27,43.13,19.48,8.57,2.48,7,0
523,61,0,0,0,7.65,12.86,6.88,2.65,2,0
524,87,0,0,0,39.32,14.59,3.05,3.51,1,0
525,176,0,0,0,8.06,14.26,7.34,2.84,2,0
526,30,0,0,0,38.66,15.51,8.63,3.38,0,0
527,95,0,1,22,6.95,11.34,11.89,3.21,0,0
528,46,0,0,0,21.22,13.37,8.97,2.32,2,0
529,100,1,0,0,11.65,28.65,9.23,3.27,0,0
530,47,0,1,37,27.8,17.26,10.44,2.11,2,0
531,77,0,0,0,27.71,18.62,10.5,1.81,2,0
532,98,0,1,38,36.33,21.51,9.35,2.89,2,0
534,67,0,0,0,52.77,5.65,11.09,2.48,4,0
535,194,0,0,0,8.23,23.89,9.83,4.91,1,0
536,128,0,1,40,29.1,12.38,8.86,3.78,1,0
537,190,0,1,22,28.31,15.56,5.44,2.3,0,0
538,165,0,0,0,36.82,16.22,10.11,3.35,0,0
539,59,0,0,0,18.33,18.41,9.79,2.67,2,0
540,47,0,1,28,24.02,14.28,5.11,2.11,1,0
541,150,0,1,29,35.68,13.43,6.39,1.78,0,0
542,152,1,1,20,40.38,21.54,11.93,3.83,9,1
543,26,0,0,0,39.87,18.4,8.62,0.95,3,0
544,79,0,1,31,17.53,20.66,3.44,3.29,3,0
545,95,0,1,27,22.02,21.16,12.06,3.21,1,0
546,69,1,0,0,47.57,21.14,7.69,2.27,2,1
547,95,1,1,41,23.26,17.07,6.02,2.78,5,1
548,31,0,1,31,17.02,20.94,11.48,1.59,0,0
549,121,0,1,31,40.31,17.48,8.85,2.73,4,0
550,111,0,0,0,29.38,15.56,7.15,2.13,4,1
551,157,0,0,0,38.17,17.06,5.25,3.11,2,0
552,44,0,0,0,48.98,21.93,8.66,2.75,3,1
553,61,1,0,0,13.29,16.65,4.86,2.73,2,0
554,65,0,0,0,25.28,22.02,6.73,3.43,2,0
555,74,0,1,25,33.08,10.19,7.9,3.54,2,0
556,123,0,0,0,27.12,25.82,10.21,3.24,0,0
557,58,0,1,20,33.07,18.16,10.65,2.57,1,0
558,74,0,0,0,29.6,21.34,11.59,2.24,2,1
559,125,0,0,0,22.41,11.62,13.87,2.08,2,0
560,80,0,0,0,27.3,20.15,11.03,2.89,1,0
561,53,0,1,18,24.96,26.35,8.04,1.94,0,0
562,99,0,1,28,34.12,22.46,7.77,2.46,1,0
563,99,0,0,0,24.75,8.36,10.39,2.94,1,0
564,66,0,1,29,39.0,21.88,10.42,2.16,2,0
565,97,0,0,0,35.87,16.07,5.54,1.27,3,0
566,75,0,1,37,20.66,23.07,11.19,3.05,2,0
567,85,1,0,0,36.72,16.0,6.62,0.97,2,0
568,108,0,0,0,49.81,13.65,6.48,2.7,2,0
569,133,1,1,32,37.59,22.52,7.6,4.16,2,1
570,51,0,0,0,30.86,16.74,8.42,2.78,1,0
571,186,0,1,26,12.63,15.07,13.33,3.92,2,0
572,44,1,0,0,10.59,23.38,6.24,2.92,1,0
573,64,0,1,31,38.86,21.12,7.52,2.43,3,0
574,44,0,0,0,38.78,23.5,12.59,2.67,2,1
575,114,0,1,36,52.68,17.03,8.26,3.83,1,0
576,92,0,0,0,34.32,19.28,9.79,3.7,3,0
577,110,0,0,0,25.47,15.3,6.3,3.16,2,0
578,90,0,1,30,31.25,19.52,6.48,2.08,1,0
579,72,0,1,21,31.74,28.48,8.42,4.46,1,0
580,113,0,0,0,35.6,29.52,11.07,2.0,1,1
581,171,0,1,25,37.94,15.57,6.79,2.75,3,0
582,104,0,0,0,27.91,13.21,7.6,2.89,1,0
583,165,0,0,0,25.59,16.41,14.02,2.78,1,0
584,104,0,0,0,39.81,24.91,8.28,2.65,0,1
585,110,0,0,0,9.4,14.0,9.03,2.75,1,0
586,90,1,0,0,37.71,17.32,9.71,2.27,1,0
587,114,0,0,0,28.83,5.01,8.07,2.0,1,0
588,101,0,0,0,15.25,22.11,7.65,3.65,5,1
589,117,0,1,14,13.63,18.62,5.52,2.32,1,0
590,109,0,0,0,37.21,25.49,7.14,3.05,2,0
591,82,0,0,0,21.37,17.65,8.24,3.48,1,0
592,92,0,0,0,29.97,7.94,9.32,2.59,2,0
593,82,0,1,29,35.22,21.6,7.62,2.57,2,0
594,90,0,0,0,34.97,13.76,12.14,3.38,2,0
596,124,0,0,0,26.78,11.11,8.7,2.59,3,0
597,39,0,0,0,27.27,8.72,10.59,2.46,2,0
598,84,0,0,0,27.03,14.27,7.54,3.32,1,0
599,75,0,1,46,36.4,17.08,11.11,2.48,0,0
600,102,0,0,0,17.44,20.91,7.67,2.46,2,0
601,62,1,0,0,27.15,16.79,5.47,3.75,0,1
602,143,0,0,0,34.48,14.09,6.48,1.24,1,0
603,53,0,0,0,9.78,22.57,10.99,3.13,3,0
604,30,0,0,0,28.88,19.14,7.64,3.08,1,0
605,112,0,0,0,57.04,18.06,11.93,3.43,2,1
606,129,0,0,0,23.72,24.59,5.82,3.54,0,0
607,63,0,1,29,24.19,10.09,10.8,1.78,1,0
608,28,0,0,0,31.93,21.13,9.4,2.86,0,0
609,111,0,0,0,24.85,22.23,7.34,2.35,3,0
610,91,0,0,0,39.41,12.8,12.11,3.13,3,0
611,90,0,0,0,32.93,13.11,13.46,3.43,1,0
612,151,0,0,0,26.59,19.84,8.81,2.08,4,0
613,105,1,1,29,37.52,18.5,8.57,3.56,1,1
614,41,0,1,37,40.77,18.86,8.51,1.97,2,0
615,48,0,1,43,29.24,17.02,10.49,2.16,1,0
616,166,1,1,35,21.79,23.33,13.45,2.38,2,0
617,79,0,0,0,22.13,24.73,8.77,3.78,3,0
618,153,0,0,0,33.22,13.14,6.43,3.13,1,0
619,110,1,0,0,49.86,16.02,12.01,3.92,0,1
620,163,0,0,0,32.52,16.48,12.08,3.46,1,0
621,126,0,0,0,20.81,12.22,7.07,3.11,1,0
622,105,0,1,33,35.63,12.49,5.44,2.86,2,0
623,172,0,0,0,36.67,12.44,11.91,1.92,3,0
624,126,0,0,0,27.44,18.75,11.21,1.38,0,0
625,97,0,0,0,24.51,19.27,6.51,3.73,3,0
626,95,1,1,37,37.43,15.75,9.23,1.11,0,1
627,87,0,0,0,43.55,13.66,11.22,2.0,4,0
628,97,0,0,0,19.16,18.5,6.84,1.76,1,0
629,76,0,0,0,50.92,19.27,9.48,3.7,0,1
630,140,0,0,0,33.12,14.53,10.13,3.75,0,0
631,169,0,0,0,17.14,19.55,8.71,2.57,0,0
632,68,0,1,22,14.03,24.64,8.1,1.3,3,0
633,122,0,1,34,24.89,7.62,9.9,4.21,2,0
634,36,0,0,0,30.24,19.09,13.78,2.92,2,0
635,120,0,1,27,26.1,16.49,11.54,2.75,5,0
637,64,0,1,19,30.62,10.84,10.68,2.03,0,0
638,13,0,1,31,45.1,12.55,11.67,3.48,1,0
639,106,0,0,0,21.86,11.39,9.48,3.08,0,0
640,88,0,0,0,27.46,14.75,9.28,2.13,2,0
641,74,0,0,0,28.1,16.87,9.38,2.65,1,0
643,49,0,0,0,36.35,22.53,10.79,4.21,0,0
644,111,0,1,24,34.94,18.64,9.72,3.78,1,0
645,50,0,1,22,42.99,15.12,7.13,2.3,3,0
647,88,0,0,0,32.64,10.85,7.0,2.03,1,0
648,131,0,1,39,11.75,8.61,4.72,2.46,0,0
649,79,0,0,0,44.49,17.9,11.55,1.62,3,1
650,140,0,0,0,40.04,21.86,4.64,3.11,2,0
651,105,0,0,0,36.28,17.42,8.09,2.57,1,0
652,54,0,1,39,35.17,10.86,8.96,2.48,3,0
653,87,0,1,22,44.85,8.79,9.36,2.3,3,0
654,96,0,1,31,31.18,16.62,8.1,2.84,1,0
655,79,0,0,0,26.79,16.5,10.42,2.54,5,1
656,55,0,0,0,29.85,13.75,13.03,2.51,0,0
657,130,0,0,0,41.23,8.74,6.41,2.51,2,0
658,34,0,0,0,25.67,11.17,8.4,2.67,0,0
659,139,0,0,0,23.48,13.98,6.07,2.24,1,0
660,109,0,0,0,45.0,25.93,8.88,2.57,1,1
661,65,0,1,31,47.99,12.92,10.15,3.24,1,0
662,63,0,0,0,35.9,20.2,11.66,3.32,0,0
663,152,0,0,0,33.51,11.06,3.51,2.0,3,0
664,147,0,0,0,34.9,14.17,10.83,2.11,1,0
665,112,0,1,22,30.91,19.39,11.82,2.48,2,0
666,120,0,0,0,42.84,12.77,6.83,2.59,2,0
667,27,0,0,0,32.95,10.11,6.12,2.48,0,0
668,171,0,0,0,39.3,16.04,9.31,3.32,1,0
669,101,0,1,33,34.02,16.06,9.23,4.19,0,0
670,32,0,1,26,45.34,19.75,9.58,4.4,1,0
671,3,0,1,36,20.08,18.83,4.68,3.21,2,0
672,151,0,0,0,29.8,12.27,7.21,3.19,0,0
673,60,0,0,0,21.27,21.15,9.51,3.02,3,0
675,43,0,0,0,41.12,11.0,11.92,1.59,1,0
676,42,0,0,0,41.0,9.9,6.85,2.86,0,0
677,84,0,0,0,36.91,20.06,5.32,2.54,1,0
678,65,0,0,0,33.22,15.4,8.03,2.4,0,0
679,75,1,0,0,37.81,27.8,9.36,2.35,1,1
680,116,0,0,0,32.22,16.13,9.26,3.54,1,0
681,107,0,0,0,20.93,13.46,11.52,2.51,0,0
682,189,0,1,38,43.64,12.79,5.54,3.08,3,0
683,123,0,0,0,27.05,20.54,9.11,1.76,1,0
684,110,0,0,0,17.02,19.83,9.2,3.0,3,0
685,63,0,1,32,5.25,15.9,10.39,2.32,1,0
686,176,0,0,0,37.94,18.22,6.95,2.73,3,0
687,108,0,0,0,31.86,16.99,9.72,3.4,1,0
688,13,0,1,21,53.65,17.76,11.7,3.27,3,0
689,71,0,0,0,47.18,11.2,5.71,2.21,1,0
690,88,0,0,0,32.27,16.77,10.55,4.02,2,0
691,137,0,0,0,25.02,16.39,7.77,2.75,1,0
693,92,0,1,29,26.42,16.02,11.47,2.16,3,0
694,165,0,0,0,26.21,22.83,8.5,2.94,6,0
695,96,0,0,0,16.59,8.97,9.91,3.13,1,0
696,156,0,0,0,30.4,15.16,7.61,2.03,1,0
697,63,0,0,0,25.38,23.26,9.3,2.46,0,0
698,37,0,0,0,35.02,15.81,13.82,2.27,0,0
699,98,0,0,0,36.86,16.22,8.44,2.97,0,0
700,121,0,0,0,17.56,10.97,7.52,2.89,0,0
701,94,0,0,0,23.7,13.52,5.77,2.08,0,0
702,99,0,0,0,32.5,13.93,10.96,3.81,1,0
703,163,0,1,23,27.2,16.1,10.35,2.81,1,0
704,161,0,0,0,37.69,16.41,8.73,1.76,3,0
705,99,0,0,0,10.69,19.64,7.6,2.3,1,0
706,108,0,0,0,36.65,16.6,8.75,0.97,1,0
707,84,0,1,42,28.1,19.0,11.74,2.05,3,0
708,83,1,1,32,16.1,13.12,9.02,2.86,2,0
709,139,0,0,0,34.54,12.96,8.9,2.62,2,0
710,69,0,0,0,33.2,18.42,11.7,3.38,3,0
711,129,0,0,0,24.43,25.31,9.57,3.08,4,0
713,158,0,0,0,37.88,17.26,9.48,1.86,2,0
714,168,0,1,22,29.9,17.99,7.85,1.97,2,0
715,115,1,0,0,42.48,20.61,6.83,4.13,1,1
716,57,1,1,30,39.87,16.59,12.1,3.08,2,0
717,67,0,0,0,35.82,18.63,8.09,1.94,1,0
718,127,0,0,0,30.99,14.44,8.28,2.51,1,0
719,78,0,0,0,32.35,16.53,11.54,3.16,2,0
720,100,0,1,38,30.11,13.91,10.92,2.0,0,0
721,103,0,1,36,14.82,14.39,7.5,2.94,6,1
722,113,0,0,0,36.65,16.44,4.74,3.65,1,0
723,78,0,0,0,23.36,20.2,9.3,3.78,3,0
724,129,0,1,36,32.78,15.05,9.74,4.43,1,0
725,57,0,0,0,25.38,17.02,10.43,3.21,2,0
726,82,0,0,0,24.43,14.51,12.95,2.11,1,0
727,64,0,0,0,38.22,16.15,9.96,2.48,1,0
728,86,0,1,39,44.4,18.21,6.97,3.43,2,0
729,151,0,1,26,33.41,14.94,9.98,3.62,0,0
730,94,0,0,0,46.1,17.22,9.97,3.11,3,1
731,90,0,0,0,35.22,24.86,10.18,2.16,2,0
732,48,0,0,0,51.07,11.32,8.88,1.94,2,0
733,85,0,1,37,39.03,11.25,9.54,2.57,2,0
734,93,1,1,20,31.88,14.43,7.89,3.27,1,0
735,169,1,0,0,9.71,16.97,12.36,1.76,3,0
736,68,0,0,0,27.56,13.18,8.54,2.97,5,1
737,91,1,0,0,24.65,14.94,10.07,4.51,2,1
738,68,0,0,0,27.12,20.47,9.46,3.08,1,0
739,101,0,0,0,32.42,17.73,9.17,2.38,1,0
741,66,0,0,0,5.78,23.68,5.83,3.11,0,0
742,116,0,1,17,32.88,20.45,11.16,3.08,5,0
743,158,0,0,0,34.34,13.9,8.79,2.81,1,0
744,78,0,0,0,32.59,20.52,9.16,2.46,1,0
745,119,0,1,26,27.42,21.28,6.41,1.78,1,0
746,120,0,0,0,25.6,10.12,10.48,1.73,1,0
747,155,0,0,0,31.38,16.66,10.19,2.11,1,0
748,106,0,0,0,37.52,22.97,5.47,2.35,1,0
749,87,1,0,0,28.44,16.87,5.99,2.97,1,0
750,146,0,1,32,26.18,15.77,6.67,2.21,3,0
751,101,0,1,29,20.59,15.84,10.88,2.73,0,0
752,22,0,1,23,30.96,13.99,5.8,3.43,3,0
753,90,0,0,0,18.63,11.7,7.19,2.97,2,0
754,41,0,0,0,35.68,10.36,11.42,2.59,1,0
755,69,0,0,0,28.48,20.58,4.55,3.08,2,0
757,112,0,0,0,19.69,20.68,8.31,3.54,1,0
758,108,0,1,30,47.02,18.71,8.01,2.65,2,0
759,136,0,1,21,30.5,15.39,14.43,2.57,2,0
760,128,0,0,0,31.84,23.02,9.29,2.73,1,0
761,27,0,0,0,34.2,19.31,6.56,2.27,2,0
763,33,0,1,35,31.76,22.19,14.3,4.05,0,0
764,120,0,1,31,26.1,18.62,10.68,3.08,0,0
765,113,0,0,0,31.89,17.7,7.15,2.35,2,0
766,122,1,0,0,39.25,20.67,8.21,2.97,0,1
767,148,0,1,26,41.63,10.03,10.62,4.1,2,0
768,74,0,0,0,39.25,18.96,7.1,2.62,3,0
769,106,0,0,0,31.81,21.27,6.52,2.97,1,0
770,179,0,0,0,29.02,16.24,9.66,3.59,1,0
771,149,1,1,28,21.57,14.19,6.53,2.38,5,1
772,77,0,0,0,32.22,17.6,9.63,2.48,0,0
773,127,1,0,0,30.07,14.27,8.2,2.08,1,1
774,80,0,0,0,27.39,16.9,10.28,2.86,1,0
775,106,0,0,0,28.8,16.76,9.1,2.89,1,0
776,61,0,1,20,43.25,13.74,11.31,2.84,0,0
777,135,1,1,24,21.71,18.28,10.54,1.57,2,0
778,115,0,1,26,28.99,18.46,10.16,3.67,6,0
779,167,1,0,0,37.25,20.65,7.6,2.73,2,0
780,107,1,0,0,46.5,15.62,6.92,2.97,2,0
781,112,1,0,0,27.52,17.08,6.03,2.89,1,0
782,35,0,1,27,41.09,12.07,13.0,2.54,1,0
783,103,1,0,0,10.68,14.48,12.61,2.54,3,0
784,107,0,1,22,47.79,12.21,10.77,3.02,1,0
785,69,0,0,0,38.79,22.41,6.42,2.89,3,0
786,85,0,0,0,35.67,16.53,9.02,3.05,0,0
787,24,0,0,0,45.15,17.75,8.21,3.0,2,1
788,90,0,0,0,36.53,10.01,6.02,3.19,2,0
789,137,0,0,0,18.79,18.97,7.63,2.84,3,0
790,92,1,1,45,47.79,16.83,4.24,2.03,0,0
791,38,0,0,0,23.43,24.34,7.52,3.81,2,0
792,69,1,1,33,46.16,21.54,7.44,2.21,1,1
793,45,0,0,0,19.18,18.6,10.81,2.43,2,0
794,73,0,0,0,31.84,20.37,7.54,4.08,1,0
795,92,0,0,0,33.49,22.89,7.15,2.92,1,0
796,113,0,1,32,30.67,11.0,7.51,2.27,1,0
797,68,1,0,0,25.25,18.65,8.93,3.92,1,1
798,135,0,1,22,33.51,22.05,6.06,3.94,2,0
799,100,0,1,26,26.13,11.71,9.61,4.29,1,0
800,96,0,1,27,44.42,18.78,8.07,3.05,1,0
801,108,0,0,0,41.85,17.2,8.1,2.54,1,0
802,84,0,0,0,32.47,27.1,11.13,1.76,0,0
803,134,0,0,0,35.41,21.56,13.1,3.4,1,0
804,72,0,0,0,43.01,18.64,9.49,2.65,0,0
805,83,0,0,0,34.39,17.13,4.58,1.84,0,0
806,137,0,0,0,29.65,13.29,6.14,2.75,0,0
807,56,0,1,30,21.61,14.63,8.76,3.27,1,0
808,61,1,1,16,24.4,20.62,6.65,3.05,0,0
809,171,0,1,17,31.77,20.4,9.04,1.57,1,0
810,123,0,0,0,32.98,20.57,6.58,3.27,1,0
811,58,0,0,0,39.92,9.08,8.03,2.67,0,0
812,156,0,0,0,21.03,8.76,8.52,3.54,1,0
813,166,0,0,0,29.56,23.49,8.59,4.13,0,0
814,75,0,1,41,22.25,17.29,7.73,3.35,1,0
815,75,0,0,0,53.48,14.43,12.83,1.54,2,1
816,83,0,0,0,38.74,17.64,9.53,3.27,1,0
818,153,0,0,0,31.5,17.68,9.27,4.08,1,0
819,150,0,0,0,24.87,17.23,10.56,3.54,1,0
820,92,0,1,16,31.28,6.49,8.33,3.43,2,0
822,134,0,0,0,30.26,13.07,10.65,3.16,1,0
823,77,0,1,24,25.4,10.53,7.84,2.73,1,0
824,147,0,0,0,35.6,11.26,6.72,3.05,2,0
825,74,0,0,0,29.26,17.99,8.2,3.13,1,0
826,138,1,0,0,28.78,18.52,8.29,2.54,1,0
827,143,0,0,0,20.25,24.45,10.04,3.29,0,0
828,64,0,0,0,33.01,14.74,12.09,1.49,2,0
829,120,0,0,0,33.8,19.56,5.39,2.67,2,0
830,121,1,0,0,28.51,7.96,10.86,3.62,3,1
831,88,0,0,0,34.37,18.43,10.77,3.19,2,0
832,87,0,0,0,54.83,17.39,8.38,2.54,2,1
833,100,0,0,0,36.75,18.33,6.23,2.75,0,0
834,104,0,0,0,12.99,9.83,10.18,2.54,3,0
835,27,0,0,0,12.36,17.73,2.96,2.67,1,0
836,81,0,1,31,35.77,19.17,7.59,2.62,0,0
838,107,0,1,28,34.31,25.92,10.15,3.21,1,0
839,88,0,1,17,37.32,18.88,8.47,4.35,1,0
840,111,0,0,0,16.88,22.99,10.14,2.43,3,0
841,77,0,0,0,40.66,12.75,7.24,2.78,5,0
842,67,1,0,0,20.55,19.98,4.28,3.08,2,0
843,102,0,0,0,38.2,11.0,7.54,4.27,1,0
844,146,0,1,19,30.02,13.83,9.7,3.94,1,0
846,96,0,0,0,30.7,16.23,13.3,2.78,1,1
847,70,0,1,31,21.4,16.69,11.37,2.78,1,0
848,149,0,0,0,40.39,16.35,9.33,2.46,0,0
849,129,0,0,0,33.73,22.5,5.01,2.48,2,0
850,166,0,0,0,46.63,4.5,11.07,2.94,0,0
851,136,1,0,0,33.93,17.97,3.26,2.97,3,1
852,149,0,0,0,37.01,23.25,10.21,2.59,3,0
853,70,0,0,0,22.9,20.05,11.71,2.05,3,0
855,66,0,0,0,43.57,15.32,8.43,1.67,2,0
856,104,0,0,0,31.21,10.26,9.68,3.43,1,0
857,160,0,0,0,29.95,16.66,11.88,2.48,1,0
858,129,0,1,37,34.85,14.06,8.32,3.16,1,0
859,93,0,0,0,45.54,18.96,11.82,3.05,3,1
860,169,0,0,0,30.46,14.89,10.29,2.67,2,0
861,58,0,0,0,25.4,16.7,9.43,4.02,1,0
862,75,0,1,38,27.81,12.47,15.56,3.54,3,0
864,155,0,0,0,28.12,15.61,3.61,2.4,3,0
865,52,0,0,0,35.67,14.56,6.96,2.67,4,0
866,119,0,1,27,37.42,22.8,6.59,3.0,0,0
867,86,0,0,0,24.02,13.12,9.48,2.21,1,0
868,42,0,0,0,33.41,20.51,6.44,1.08,0,0
869,127,1,0,0,30.75,17.81,11.25,2.0,2,0
870,123,0,0,0,17.85,21.39,11.61,4.02,0,0
871,98,0,0,0,46.14,16.18,12.81,3.0,4,1
872,149,0,1,43,35.14,14.84,10.87,2.94,1,0
873,160,0,0,0,28.36,20.06,13.84,2.51,1,0
874,103,0,0,0,34.83,11.49,9.37,2.81,5,0
875,132,0,1,15,26.28,20.88,6.69,2.46,1,0
876,137,0,0,0,21.59,27.47,6.48,2.03,1,0
877,129,1,0,0,45.46,17.36,5.03,1.59,1,0
879,122,0,1,33,46.04,18.73,7.65,3.19,4,0
880,32,0,0,0,29.1,15.78,9.15,2.75,1,0
881,86,0,0,0,21.1,17.22,13.03,1.81,3,0
882,130,0,0,0,27.68,24.68,5.17,1.94,1,0
884,73,0,0,0,43.32,12.19,6.93,4.05,2,0
885,66,0,1,26,43.33,20.67,8.59,1.46,2,0
886,103,0,1,31,18.31,16.06,8.83,2.4,0,0
887,128,0,0,0,27.0,22.51,12.15,2.05,1,0
888,104,0,0,0,31.09,20.37,10.34,1.49,2,0
890,124,0,0,0,30.33,19.86,8.07,3.24,0,0
891,87,0,0,0,18.85,13.47,9.34,1.67,1,0
892,109,0,1,27,28.37,18.8,8.88,3.32,1,1
893,167,1,0,0,41.62,5.17,7.95,2.89,2,0
894,97,0,0,0,20.54,14.43,8.73,3.21,4,1
895,106,0,0,0,28.1,17.85,8.42,2.3,2,0
896,125,0,0,0,21.54,13.22,9.28,3.89,2,0
897,108,0,1,35,36.7,17.05,8.79,4.19,0,0
898,125,0,0,0,23.82,17.82,11.88,2.16,1,0
899,89,0,1,32,35.68,21.23,10.09,2.35,1,0
900,72,1,1,29,23.77,11.75,9.95,1.49,0,0
901,23,0,0,0,54.67,21.39,6.35,3.05,2,1
902,149,0,0,0,28.32,18.6,9.37,2.21,7,0
903,73,0,0,0,36.41,16.73,7.11,1.59,0,0
904,61,0,0,0,44.2,17.89,10.56,2.43,1,1
905,161,0,0,0,32.62,6.03,9.22,3.62,4,1
906,73,0,0,0,36.21,16.05,6.13,3.65,0,0
907,118,0,1,24,20.08,9.32,11.05,4.56,1,0
908,23,0,0,0,32.33,14.14,9.89,4.05,6,0
909,127,0,1,25,13.97,13.88,11.92,1.38,0,0
910,42,0,1,32,27.85,15.11,8.57,2.19,0,0
911,118,0,0,0,45.53,26.89,9.39,3.89,5,1
912,45,0,0,0,27.17,10.23,7.34,2.86,2,0
913,50,0,1,24,36.43,24.63,14.06,2.86,1,0
914,179,0,0,0,48.84,24.48,11.97,2.84,0,1
915,152,0,0,0,17.2,12.04,8.93,2.03,2,0
916,105,0,0,0,17.48,23.94,10.26,3.56,2,0
917,72,0,0,0,18.55,9.83,13.31,2.24,0,0
918,52,0,0,0,36.7,18.45,15.43,1.4,1,0
919,125,0,0,0,34.58,10.94,8.57,2.97,1,0
920,143,0,0,0,18.72,14.37,7.5,2.48,1,0
923,1,0,0,0,24.62,9.56,9.84,3.73,1,0
924,60,0,0,0,23.02,17.5,9.18,2.13,1,0
925,43,0,0,0,14.31,6.87,8.82,2.92,1,0
926,143,0,0,0,35.55,9.02,8.08,3.78,0,0
927,81,0,1,24,22.12,16.66,6.27,3.08,0,0
928,205,0,1,24,29.89,13.18,8.13,2.11,2,0
929,24,0,0,0,41.12,12.34,9.65,1.78,1,0
930,74,0,0,0,23.24,19.43,11.94,2.65,0,0
931,77,0,0,0,11.51,16.63,10.64,3.24,1,0
932,74,0,0,0,34.07,26.28,6.84,2.7,1,0
933,74,1,0,0,21.39,17.65,9.33,3.81,1,1
934,200,0,0,0,21.79,11.32,7.99,3.02,1,0
935,86,0,0,0,38.47,18.96,11.5,3.51,4,0
936,91,0,1,37,27.59,19.88,12.48,2.48,0,0
937,76,0,0,0,38.15,12.57,8.27,1.81,2,0
938,130,0,0,0,20.49,16.12,12.15,3.86,1,0
939,56,0,0,0,15.49,15.24,13.53,3.21,2,0
940,117,0,0,0,28.7,20.52,9.22,4.19,0,0
941,63,0,0,0,26.1,24.42,10.36,1.76,2,0
942,126,0,0,0,38.45,11.93,9.4,1.73,0,0
943,132,0,0,0,32.62,17.59,12.24,3.4,1,0
944,81,0,1,28,28.54,16.21,8.69,2.48,4,1
945,122,0,0,0,30.6,12.33,10.52,3.11,2,0
946,46,0,0,0,43.76,22.19,9.2,3.62,2,1
947,150,0,1,28,29.65,14.44,9.07,2.97,1,0
948,99,0,0,0,27.15,13.21,11.51,2.27,1,0
949,87,0,0,0,40.32,18.92,7.8,2.97,1,0
950,108,0,0,0,17.51,20.6,7.66,2.13,1,0
951,101,0,0,0,26.15,19.89,8.83,3.13,4,0
952,53,0,0,0,34.87,13.64,6.73,2.89,3,0
953,132,0,1,39,29.87,15.91,10.15,2.32,2,0
954,158,0,0,0,26.5,19.06,9.95,2.32,2,0
955,114,0,1,34,26.25,18.82,9.38,2.78,0,0
956,77,0,1,23,35.65,15.61,9.25,1.92,2,0
958,91,0,1,23,39.51,15.81,8.57,3.32,3,0
959,58,0,0,0,28.12,9.83,8.72,3.46,2,0
961,97,0,0,0,36.99,27.24,6.78,1.13,0,0
962,107,0,0,0,36.06,12.76,9.89,2.08,3,0
963,142,0,1,30,26.18,14.09,12.15,2.92,1,0
964,9,0,1,31,32.95,17.22,8.6,3.59,1,0
965,73,0,0,0,29.82,21.09,5.51,3.29,0,0
966,48,0,1,22,25.84,22.0,11.84,4.24,2,1
967,43,0,0,0,39.13,15.87,5.78,2.48,0,0
968,122,0,1,33,29.73,21.1,7.41,3.65,1,1
969,93,0,0,0,32.33,22.29,5.85,2.38,0,0
970,85,0,0,0,29.99,19.12,9.88,3.11,1,0
971,59,0,0,0,27.35,21.35,12.3,1.35,3,0
972,87,0,0,0,38.88,13.86,6.93,3.19,1,0
973,137,0,0,0,24.48,15.44,5.76,3.32,0,0
974,21,0,1,31,23.1,23.04,8.06,2.57,6,0
